sample_id,clim_precip,clim_temp,soil_texture,topo_elevation,topo_slope
0,0.1150220653035057,290.2861475285239,8,60,2.1739998
1,0.1172688589267915,290.40797212534426,8,67,2.171378
2,0.1238686950349683,290.8646920822385,8,56,1.4549625
3,0.1258473908243787,291.11550378054375,8,46,3.4684653
4,0.1092280135602596,289.5493351975145,8,118,2.2833185
5,0.1211203078165568,290.6386878807886,8,56,1.4592474
6,0.1218691031147133,290.7644602477409,5,49,1.4570484
7,0.1195489444704628,290.55669895012824,8,62,1.4596932
8,0.1154713082877478,290.310660525258,8,58,1.1341499
9,0.1266733911097756,291.2419285960221,8,43,1.112444
10,0.1258187718180599,291.04609636064146,8,50,2.2330914
11,0.1212759383012712,290.65520956242665,8,63,1.4583213
12,0.1131052972457482,290.1748915815223,8,69,0.92740995
13,0.1091582292516757,289.4794525523735,8,106,1.1427461
14,0.1218632332077322,290.86415506691026,4,49,1.4550024
15,0.1131682186098598,290.1814247748628,7,63,2.9318256
16,0.1093639719532721,289.61603384284854,7,109,2.9394264
17,0.1087954040365887,288.8825669136055,7,77,0.92740995
18,0.111312526211929,289.3022283726896,8,102,14.805317
19,0.1116077081784109,289.7019041584315,8,75,1.1421247
20,0.1104019169249082,289.5266524689247,5,73,3.4252293
21,0.1181851958411903,290.4763522210325,8,76,3.8611166
22,0.1218790297591841,290.657791277062,8,64,1.1261836
23,0.1117394546120786,289.9097458742279,8,73,2.461219
24,0.1123225304860515,289.77610078766475,8,69,4.6273675
25,0.1145425147181195,290.25718304419814,7,59,2.173726
26,0.1075433549462107,289.00296670809985,8,167,2.9454074
27,0.1223211807357864,290.72166585893183,8,56,2.9136646
28,0.1149298234445306,290.2806001436447,8,62,0.92740995
29,0.1129405812920821,290.14353206759966,7,67,2.1741295
30,0.1184686870096605,290.4927889439723,8,67,1.4620318
31,0.1180080173097883,290.46460855773785,8,65,0.92740995
32,0.1205630277780511,290.59740798726733,8,56,2.1698773
33,0.1188604361262971,290.52089962855774,4,52,2.1710544
34,0.1258383171860553,291.1148920130385,8,51,0.0
35,0.1216507598311932,290.7007792344004,8,49,1.12565
36,0.1220680308402829,290.91218101112105,5,48,1.1200699
37,0.1228600025857835,290.7196036315765,8,63,0.0
38,0.1233778474341753,290.81573965381136,5,55,1.4555953
39,0.1100792001215813,289.5298981497777,7,70,0.0
40,0.1167759344557847,290.3778283038923,8,53,3.3930998
41,0.1113730251454066,289.98155227831273,8,66,0.92740995
42,0.1120175328417485,289.6414856266966,8,70,0.92740995
43,0.1218225106043965,291.09288253011096,8,37,0.92740995
44,0.1164049018050047,290.36546184575013,8,61,3.8669364
45,0.1123460484013457,289.7682820778249,8,66,1.1419337
46,0.1200372051879248,290.57469010360273,8,53,3.8543518
47,0.1092877780482133,289.27556993590014,7,69,6.3373632
48,0.1211213556393872,290.6132951770243,8,62,2.436356
49,0.1221852776733337,291.0896487057838,2,35,2.1630037
50,0.1206184929336747,290.62389044538577,8,69,1.1273633
51,0.1219405345608462,290.6888613336872,8,55,0.0
52,0.1153947780190824,290.3074270663358,8,63,3.0021517
53,0.1237592363366581,290.92864597654454,8,55,0.0
54,0.1184876874078652,290.49682933856457,5,61,2.260023
55,0.1266615117933581,291.2458287080289,8,44,1.8543341
56,0.1247597187315264,290.9365241550642,8,55,0.0
57,0.1220860790914305,290.8590398952375,7,49,1.1214597
58,0.1119049710005267,290.1105192276792,7,66,1.468306
59,0.1085305784488567,289.066841337307,8,80,0.92740995
60,0.107346271558894,288.91817202316463,7,197,3.0065598
61,0.1114673472977468,290.02948863146605,8,65,1.4690721
62,0.1183575265258669,290.47278081175153,7,58,1.4624367
63,0.1236827474664122,291.1899465873339,1,38,2.2255437
64,0.1239890417555773,290.8831305312085,5,51,0.0
65,0.1226012463520706,290.7948073590795,8,44,2.2452526
66,0.1132361499880435,290.18496813344115,7,61,2.2726312
67,0.1125429490129542,290.139210328808,5,72,9.145241
68,0.1139561341895156,290.21962555888786,4,62,0.0
69,0.1222664587464258,290.80095511252546,4,50,1.4562502
70,0.1115270965732084,289.7712623955222,8,73,2.463053
71,0.1123132754027367,289.9675699495225,8,124,0.92740995
72,0.1133923693889623,290.1917089168156,8,67,0.92740995
73,0.1074770718047024,288.9478700279877,8,179,9.794517
74,0.1114806091199778,289.92204915167497,5,68,4.3467355
75,0.1127657758650021,289.9897639015307,7,67,5.154124
76,0.1095605681675703,289.5270184329565,8,95,4.6273675
77,0.1202957707948224,290.6016590763915,8,63,1.1265788
78,0.1107642018782443,289.9168040769369,4,67,1.1401141
79,0.1248045092965917,291.0950319980629,8,48,2.1637206
80,0.1187879598741061,290.5193100246046,4,63,0.92740995
81,0.1218772728785322,290.734200918814,8,53,2.248725
82,0.1203945393767783,290.6016879519594,8,60,1.1277565
83,0.120210924720749,290.4338781026059,3,59,1.1294714
84,0.115917308308445,290.3372217268102,8,63,1.1337051
85,0.1214166494892626,290.6782117498563,8,105,5.816018
86,0.1226454179264634,290.83725275027587,8,48,0.0
87,0.1121114242977047,289.660458942613,7,66,0.92740995
88,0.1208024606493955,290.6223156122873,8,54,3.50264
89,0.1168838672947787,290.3952467497371,8,64,2.4464245
90,0.1091475082297415,289.26046256806984,8,74,2.9438245
91,0.1245773316886046,290.9180386755346,8,55,0.0
92,0.1095298507845552,289.4865612865016,8,73,1.4716542
93,0.1231463329965752,290.98725578803777,8,46,3.5654209
94,0.1098426611884093,289.812828833692,8,220,3.8753557
95,0.1210692973290656,290.63998166905554,8,58,2.4358964
96,0.1245677013491437,290.942651221537,8,51,0.92740995
97,0.1073618914076385,288.9028753262527,8,180,1.8543341
98,0.121382599553198,290.65929803328123,8,55,2.9159658
99,0.1104452557572423,289.8915960038404,8,77,7.345601
100,0.1179457772058986,290.45170353054743,8,62,1.4624544
101,0.1251373095600932,291.0366929980464,8,51,1.1172062
102,0.1145216457155541,290.25715856198,8,65,1.466076
103,0.1178231506270786,290.457918446796,4,61,1.4628335
104,0.1134112146013505,290.1924634152888,8,66,0.0
105,0.1087995706872773,288.5852647786948,7,79,1.1497319
106,0.1074225276490108,288.93197468865924,8,194,3.4344916
107,0.110273960511177,289.92798766644154,8,154,2.1761234
108,0.1244018479185528,291.17768763472685,8,41,1.4490749
109,0.114529389578072,290.25707821126286,8,72,1.4663684
110,0.1215922571966634,290.6646493093819,8,56,0.0
111,0.121915083107924,290.8450894081232,8,51,1.4553899
112,0.1228863443108341,290.77765690349696,4,57,0.0
113,0.1246860249109182,291.0463737633544,2,45,2.901352
114,0.1197415052088498,290.53608886331347,8,68,2.9999883
115,0.1197334107488144,290.5618176527674,8,59,3.3824887
116,0.1187523502778619,290.50767659779456,8,53,8.704555
117,0.1108210583726823,289.2692587475076,8,117,4.765782
118,0.1246454004165557,290.9172205636361,8,56,1.4538221
119,0.118039927244184,290.463270700986,8,62,1.4624456
120,0.1116263824151308,290.0956631311844,8,133,2.175346
121,0.1228839197936031,290.857615317579,2,45,0.92740995
122,0.1121369912119111,290.12231445132,7,211,3.8785894
123,0.1116176669768242,290.0891814297695,8,145,2.456583
124,0.1155472372284727,290.3029945006295,7,64,3.3937552
125,0.1220869941160094,290.79223696758635,8,52,1.4564451
126,0.116220548459559,290.3573153300893,8,65,1.1335622
127,0.1185289872031427,290.4905326332402,8,59,0.92740995
128,0.1098360438469092,289.70180104835896,8,70,3.5944831
129,0.1233121025720796,290.7885643439231,8,63,1.1230017
130,0.1231675997088138,291.00387696417124,8,46,2.9027102
131,0.1120948365213229,289.8883250737044,8,75,0.0
132,0.1209199443290039,290.6268141367206,8,53,1.4594542
133,0.1185366630533726,290.4898256894867,8,61,2.4422033
134,0.1105311466175167,289.31036041296926,8,73,1.8543341
135,0.1221000844668448,290.83908896515453,7,48,1.1219777
136,0.1241390185456863,291.1714150774764,7,47,2.9944155
137,0.1087327200642911,289.4216652811827,8,86,12.750375
138,0.1197844461166111,290.5477901752569,8,54,1.1286429
139,0.1180834840282985,290.46872808223947,8,67,2.1716044
140,0.118023187031334,290.46281360209434,8,61,0.0
141,0.1110751733562331,289.39921051704937,8,94,0.92740995
142,0.1229801827327022,290.7482409425261,8,58,1.1240968
143,0.1226153546784906,291.05373074650566,8,44,1.4512602
144,0.1257338855843018,291.0273236339949,8,51,0.0
145,0.1183921270663677,290.4917508427753,4,56,2.4428244
146,0.1257534420777248,291.038423768343,8,52,3.5640745
147,0.1121480264919398,290.1237798364167,8,67,2.4570403
148,0.1212556943716019,291.3607627132438,0,34,4.3300476
149,0.1161748518083447,290.34560201916645,7,53,1.1329489
150,0.119222357249278,290.5435959046715,7,58,1.4612129
151,0.1200199855962848,290.55421174177786,8,61,1.4602891
152,0.1220505772786328,290.7395247449748,8,54,1.4575121
153,0.1103691883340119,289.54151218667045,5,66,2.4654171
154,0.1244941142838314,291.1757994350424,8,40,2.411598
155,0.1178073367166345,290.4365788753486,7,51,2.1716344
156,0.1095758610466182,289.6615006431104,8,75,2.1770616
157,0.1245853689514934,290.91520215299147,8,55,1.4538758
158,0.1242880301700997,290.887891438236,8,57,1.4543121
159,0.1122207598751082,290.0234375366146,8,72,0.92740995
160,0.120294253016873,290.59841001790465,8,60,2.43778
161,0.1222782302649668,290.71267577391075,8,57,2.4327729
162,0.1153760807490576,290.3029634551428,8,59,2.927657
163,0.1090134200905771,289.4359742488328,8,120,5.547545
164,0.113671270946541,290.20578668389254,8,76,0.92740995
165,0.1206446293387996,290.596162610171,8,50,2.437256
166,0.1224277840482053,290.8053658654393,4,48,1.4561471
167,0.1243868560189722,291.19408400796044,8,42,2.1624222
168,0.1127107699442148,289.97524371376085,7,64,1.1404423
